0.19,-0.21,0.26,0.02,-0.12,-0.51,-0.2,-0.88,-0.06,-0.91,
-0.98,-0.55,0.8,0.79,0.83,-0.09,-0.04,-0.8,0.68,0.18,
-0.06,-0.05,0.93,-0.06,0.31,0.81,0.69,-0.41,0.44,-0.81,
0.9,0.49,-0.49,-0.98,0.93,0.54,-0.51,0.6,0.69,0.5,
0.85,0.56,-0.48,-0.8,-0.29,0.2,0.71,-0.72,0.11,-0.56,
-0.43,0.31,0.23,-0.71,-0.15,0.74,-0.6,-0.85,0.07,-0.48,
0.25,-0.48,0.94,0.42,-0.57,0.54,-0.96,0.29,-0.08,-0.52,
0.74,0.4,-0.22,0.53,-0.01,-0.55,0.92,0.74,0.58,-0.18,
-0.34,-0.32,-0.04,0.5,0.36,-0.49,0.33,0.49,0.1,-0.94,
-0.1,-0.94,-0.26,-0.42,-0.25,0.06,-0.4,-0.68,0.21,0.16,
-0.04,-0.4,-0.62,-0.31,-0.4,0.32,0.05,-0.98,0.66,0.05,
-0.5,0.01,-0.62,0.11,-0.87,-0.64,-0.25,-0.03,0.05,-0.4,
0.23,0.52,-0.21,0.06,0.35,-0.76,0.75,-0.19,0.06,0.29,
-0.97,-0.91,-0.53,-0.31,-0.21,-0.14,-0.21,0.29,0.52,0.64,
0.89,-0.92,0.9,-0.19,-0.07,-0.13,0.85,0.13,0.12,-0.04,
-0.35,0.44,0.47,0.01,-0.68,0.25,0.1,0.01,-0.45,-0.42,
0.93,-0.69,-0.2,0.08,0.51,-0.39,0.18,0.56,-0.46,0.39,
0.73,-0.75,-0.79,-0.92,-0.88,0.07,0.48,0.26,0.81,-1.0,
-0.75,-0.5,0.16,0.76,0.5,0.02,0.74,0.69,-0.49,-0.67,
-0.14,0.59,0.85,0.14,0.67,-0.71,0.34,0.67,0.25,-0.24,
-0.49,0.99,0.64,-0.93,0.41,-0.64,0.73,-0.63,-0.49,-0.9,
0.81,0.95,0.63,0.52,-0.93,0.53,0.48,-0.62,0.25,0.91,
0.72,0.19,-0.81,0.59,0.95,-0.33,-0.83,0.21,0.01,0.2,
0.3,1.0,-0.83,-0.31,0.69,-0.29,-0.94,-0.02,-0.25,-0.05,
-0.76,-0.96,-0.41,0.53,0.5,-0.8,-0.2,-0.03,-0.96,-0.19,
-0.1,-0.79,0.92,-0.35,-0.29,0.85,0.59,-0.64,-0.37,-0.71,
-0.6,0.35,-0.79,0.95,0.56,-0.2,0.12,0.58,-0.14,-0.2,
-0.26,0.29,-0.01,0.13,0.95,0.09,-0.59,0.67,0.75,0.93,
0.03,0.96,0.71,0.13,0.18,0.23,0.91,-0.0,0.64,-0.49,
-0.91,-0.82,0.32,0.53,0.96,0.89,-0.62,-0.47,0.74,0.02,
-0.84,0.62,0.66,0.51,-0.19,-0.21,0.38,-0.21,0.6,-0.89,
-0.45,0.88,0.99,-0.12,-0.55,-0.29,0.26,0.03,0.09,-0.5,
-0.25,0.42,-0.23,0.96,-0.22,-0.33,-0.08,0.83,0.6,0.05,
-0.56,0.13,-0.24,-0.13,0.63,0.63,0.9,0.6,0.62,0.96,
0.97,-0.84,-0.53,-0.72,-0.42,-0.12,-0.3,-0.66,0.91,0.84,
-0.4,0.78,0.58,0.27,-0.62,-0.22,-0.6,-0.96,0.33,0.24,
-0.61,0.6,0.23,0.61,0.73,-0.14,-0.58,0.33,0.94,-0.48,
0.83,-0.84,0.72,-0.56,-0.81,1.0,0.16,-0.63,0.34,0.11,
0.37,-0.49,0.68,0.04,-0.64,0.37,0.42,-0.49,0.69,0.16,
-0.32,-0.3,-0.66,-0.45,0.7,0.73,-0.87,0.67,-0.35,0.4,
0.09,-0.61,0.66,-0.08,-0.78,0.46,0.24,-0.1,0.33,-0.89,
0.49,-0.96,0.15,0.39,-0.78,0.15,-0.08,0.18,0.59,0.85,
0.76,0.67,0.05,-0.02,-0.11,0.96,0.38,-0.04,-0.68,0.1,
0.25,-0.38,0.21,-0.84,0.54,0.64,-0.79,0.86,0.2,0.43,
-0.79,0.37,-0.89,0.85,0.05,-0.03,-0.17,-0.93,-0.26,-0.29,
-0.89,0.32,-0.89,-0.58,-0.03,-0.29,0.8,0.98,-0.1,0.97,
0.96,-0.45,-0.67,0.47,0.51,0.56,0.37,0.34,-0.15,-0.5,
0.63,0.85,-0.25,-0.25,0.77,-0.32,0.07,0.8,0.16,0.59,
-0.02,0.55,0.95,-0.83,-0.76,-0.23,0.36,-0.21,-0.57,-0.99,
0.69,0.17,0.44,-0.13,-0.91,0.38,-0.68,0.53,0.74,1.0,
