0.74,-0.86,-0.18,0.52,-0.82,0.29,-0.57,-0.14,-0.95,0.88,0.96,-0.56,0.84,-0.6,0.73,0.79,-0.91,0.14,-0.73,0.15,-0.73,-0.66,0.77,-0.78,-0.04,0.55,-0.42,0.5,0.34,0.56,-0.6,0.38,0.64,-0.57,-0.71,0.02,-0.55,-0.31,0.98,-0.69,0.43,0.9,0.74,0.04,0.26,-0.99,-0.28,-0.73,-0.87,0.45,
-0.03,0.08,-0.6,-0.67,0.05,0.91,0.84,0.47,0.56,-0.35,0.93,-0.45,0.12,-0.22,0.31,0.15,0.53,-0.46,0.47,-0.06,0.84,-0.38,0.73,-0.27,-0.65,-0.51,-0.18,-0.86,0.73,-0.39,0.83,0.44,-0.7,0.62,0.17,0.26,-0.05,0.3,-0.91,0.83,-0.59,-0.3,0.62,-0.24,0.51,-0.3,-0.12,0.43,-0.79,-0.08,
0.97,-0.82,-0.76,0.23,-0.81,0.97,-0.47,0.64,-0.44,0.72,0.03,0.49,-0.92,0.07,0.51,-0.44,-0.12,-0.06,-0.19,0.15,-0.14,0.85,0.5,0.85,-0.62,0.78,-0.48,-0.56,0.84,0.34,0.88,-0.24,-0.01,-0.67,-0.01,-0.74,0.27,-0.48,-0.23,-0.94,-0.53,0.66,0.87,0.99,0.67,-0.54,-0.41,-0.39,0.54,0.47,
0.95,0.37,-0.57,-0.32,-0.48,-0.01,0.69,0.08,0.48,0.64,-0.08,-0.46,0.85,-0.95,0.81,0.54,0.23,0.25,-0.76,0.18,0.83,0.39,-0.02,0.5,-0.83,0.58,0.76,-0.3,0.76,0.02,0.78,0.53,0.94,-0.48,0.12,0.42,0.65,0.87,-0.24,0.08,-0.72,-0.23,0.62,0.34,0.47,-0.71,-0.46,0.03,-0.55,-0.87,
0.58,-0.53,-0.94,0.81,-0.91,0.02,0.26,0.57,0.05,-0.96,-0.66,0.11,0.26,0.41,-0.06,0.51,0.97,-0.08,-0.89,0.67,-0.27,-0.96,0.54,-0.96,-0.96,0.56,0.3,-0.43,0.8,0.73,0.37,-0.06,0.38,-0.93,0.09,-0.76,-0.28,-0.76,0.22,-0.41,0.6,0.06,-0.39,0.13,0.32,0.63,-0.62,0.4,0.79,-0.43,
0.22,-0.46,-0.53,0.92,0.58,-0.97,0.83,-0.89,0.37,0.18,0.19,0.69,0.47,0.61,-0.94,-0.64,-0.19,-0.83,-0.52,0.29,-0.54,0.9,0.05,0.97,-0.62,-0.76,-0.96,-0.51,-0.83,0.91,0.29,-0.85,0.54,-0.63,0.64,0.75,-0.86,0.01,0.21,0.48,0.29,0.38,0.23,0.56,-0.25,0.23,-0.32,-0.15,0.11,0.44,
0.16,-0.61,-0.99,0.4,-0.57,-0.01,-0.82,0.36,-0.94,-0.15,-0.83,0.38,-0.68,-0.89,0.98,0.06,0.31,-0.64,-0.48,0.84,-0.34,0.48,-0.66,0.1,0.93,0.76,-0.32,-0.22,-0.56,-0.86,-0.05,-0.45,-0.85,-0.18,-0.77,0.81,-0.53,-0.65,-0.7,-0.56,-0.08,0.36,-0.24,0.89,-0.22,0.82,0.16,-0.35,0.92,0.54,
-0.84,-0.28,-0.79,0.73,0.59,-0.2,-0.51,0.73,0.1,-0.73,-0.43,-0.96,-0.27,0.6,-1.0,-0.62,-0.08,-0.15,-0.07,-0.4,-0.1,-0.93,0.98,-0.7,0.96,0.46,0.12,0.59,0.48,0.88,-0.43,0.86,0.43,0.27,0.75,-0.61,0.43,0.69,-0.13,-0.29,0.39,-0.08,0.83,-0.12,-0.09,-0.68,0.17,0.05,0.93,-0.82,
-0.43,0.87,0.75,-0.48,0.11,-0.24,0.48,-0.76,-0.08,0.66,-0.98,0.37,-0.05,-0.47,0.4,-0.76,-0.92,-0.37,0.46,0.28,-0.83,0.57,0.08,-0.96,0.63,-0.26,-0.93,0.54,0.07,-0.49,-0.24,0.28,-0.5,-0.45,0.08,0.5,-0.75,-0.64,-0.74,0.38,0.67,-0.42,0.95,0.07,0.3,0.03,-0.45,0.16,0.86,-0.81,
0.03,-0.73,0.67,0.46,-0.53,-0.39,0.01,-0.93,-0.19,-0.97,0.46,-0.98,-0.81,0.91,-0.27,0.92,-0.82,0.68,-0.83,0.12,-0.45,-0.73,-0.52,-0.61,0.9,0.16,0.65,0.01,-0.68,0.58,0.35,-0.61,0.93,0.16,0.67,0.96,-0.66,0.73,-0.65,0.09,0.16,0.24,-0.03,0.61,-0.5,0.49,-0.98,0.58,0.15,-0.95,
